<block:BiblioCraft:Armor Stand>, 衣架
<block:BiblioCraft:BiblioBell>, 按铃
<block:BiblioCraft:BiblioBorderlessPainting>, tile.BiblioBorderlessPainting.name
<block:BiblioCraft:BiblioCase>, tile.BiblioCase.name
<block:BiblioCraft:BiblioClipboard>, tile.BiblioClipboard.name
<block:BiblioCraft:BiblioClock>, tile.BiblioClock.name
<block:BiblioCraft:BiblioDesk>, tile.BiblioDesk.name
<block:BiblioCraft:BiblioFancyPainting>, tile.BiblioFancyPainting.name
<block:BiblioCraft:BiblioFancySign>, tile.BiblioFancySign.name
<block:BiblioCraft:BiblioFlatPainting>, tile.BiblioFlatPainting.name
<block:BiblioCraft:BiblioIronLamp>, tile.BiblioIronLamp.name
<block:BiblioCraft:BiblioIronLantern>, tile.BiblioIronLantern.name
<block:BiblioCraft:BiblioLabel>, tile.BiblioLabel.name
<block:BiblioCraft:BiblioLamp>, tile.BiblioLamp.name
<block:BiblioCraft:BiblioLantern>, tile.BiblioLantern.name
<block:BiblioCraft:BiblioMapFrames>, tile.BiblioMapFrames.name
<block:BiblioCraft:BiblioMiddlePainting>, tile.BiblioMiddlePainting.name
<block:BiblioCraft:BiblioPaintPress>, 压印机
<block:BiblioCraft:BiblioPaneler>, tile.BiblioPaneler.name
<block:BiblioCraft:BiblioPotionShelf>, tile.BiblioPotionShelf.name
<block:BiblioCraft:BiblioRack>, tile.BiblioRack.name
<block:BiblioCraft:BiblioSeats>, tile.BiblioSeats.name
<block:BiblioCraft:BiblioShelf>, tile.BiblioShelf.name
<block:BiblioCraft:BiblioSimplePainting>, tile.BiblioSimplePainting.name
<block:BiblioCraft:BiblioStuffs>, tile.BiblioStuffs.name
<block:BiblioCraft:BiblioSwordPedestal>, tile.BiblioSwordPedestal.name
<block:BiblioCraft:BiblioTable>, tile.BiblioTable.name
<block:BiblioCraft:BiblioTypewriter>, tile.BiblioTypewriter.name
<block:BiblioCraft:BiblioWorkbench>, tile.BiblioWorkbench.name
<block:BiblioCraft:Bibliotheca>, tile.BiblioBookcase.name
<block:BiblioCraft:BookcaseFilled>, tile.BookcaseFilled.name
<block:BiblioCraft:Printing Press>, 拓印机
<block:BiblioCraft:Typesetting Machine>, 排版台
<block:BiblioCraft:tile.BiblioFramedChest>, tile.BiblioFramedChest.name
<block:DayZ:barbedWire>, 铁丝网
<block:DayZ:chainFence>, 铁丝网围栏
<block:DayZ:chestLoot>, 战利品
<block:DayZ:nailBlock>, 钉子
<block:DayZ:sandbagBlock>, 沙袋
<block:FoodCraft:BlockBailuobo>, tile.BlockBailuobo.name
<block:FoodCraft:BlockCaomei>, tile.BlockCaomei.name
<block:FoodCraft:BlockCaomeiDG>, 草莓蛋糕
<block:FoodCraft:BlockCong>, tile.BlockCong.name
<block:FoodCraft:BlockDami>, 大米方块
<block:FoodCraft:BlockDouban>, 豆瓣方块
<block:FoodCraft:BlockDouzi>, tile.BlockDouzi.name
<block:FoodCraft:BlockDouzik>, 豆子方块
<block:FoodCraft:BlockFanqie>, tile.BlockFanqie.name
<block:FoodCraft:BlockHongdou>, tile.BlockHongdou.name
<block:FoodCraft:BlockHongshu>, tile.BlockHongshu.name
<block:FoodCraft:BlockHongzao>, 红枣树叶
<block:FoodCraft:BlockHongzaoshu>, 红枣树苗
<block:FoodCraft:BlockHuanggua>, tile.BlockHuanggua.name
<block:FoodCraft:BlockHuashen>, tile.BlockHuashen.name
<block:FoodCraft:BlockHuashenk>, 花生方块
<block:FoodCraft:BlockJinputaoDG>, 金葡萄蛋糕
<block:FoodCraft:BlockJuzi>, 橘子树叶
<block:FoodCraft:BlockJuziDG>, 橘子蛋糕
<block:FoodCraft:BlockJuzishu>, 橘子树苗
<block:FoodCraft:BlockLajiao>, tile.BlockLajiao.name
<block:FoodCraft:BlockLi>, 梨树叶
<block:FoodCraft:BlockLiDG>, 梨子蛋糕
<block:FoodCraft:BlockLishu>, 梨树苗
<block:FoodCraft:BlockLizhi>, 荔枝树叶
<block:FoodCraft:BlockLizhishu>, 荔枝树苗
<block:FoodCraft:BlockLongyan>, 龙眼树叶
<block:FoodCraft:BlockLongyanshu>, 龙眼树苗
<block:FoodCraft:BlockLuobo>, 萝卜方块
<block:FoodCraft:BlockLvdou>, tile.BlockLvdou.name
<block:FoodCraft:BlockMangguo>, 芒果树叶
<block:FoodCraft:BlockMangguoshu>, 芒果树苗
<block:FoodCraft:BlockMugua>, 木瓜树叶
<block:FoodCraft:BlockMuguashu>, 木瓜树苗
<block:FoodCraft:BlockNingmeng>, 柠檬树叶
<block:FoodCraft:BlockNingmengDG>, 柠檬蛋糕
<block:FoodCraft:BlockNingmengshu>, 柠檬树苗
<block:FoodCraft:BlockNuodao>, tile.BlockNuodao.name
<block:FoodCraft:BlockPipa>, 枇杷树叶
<block:FoodCraft:BlockPipashu>, 枇杷树苗
<block:FoodCraft:BlockPutao>, tile.BlockPutao.name
<block:FoodCraft:BlockPutaoDG>, 葡萄蛋糕
<block:FoodCraft:BlockQiaokeli>, 巧克力方块
<block:FoodCraft:BlockQiezi>, tile.BlockQiezi.name
<block:FoodCraft:BlockQingjiao>, tile.BlockQingjiao.name
<block:FoodCraft:BlockRuomi>, 糯米方块
<block:FoodCraft:BlockShanzha>, 山楂树叶
<block:FoodCraft:BlockShanzhashu>, 山楂树苗
<block:FoodCraft:BlockShiliu>, 石榴树叶
<block:FoodCraft:BlockShiliushu>, 石榴树苗
<block:FoodCraft:BlockShizi>, 柿子树叶
<block:FoodCraft:BlockShizishu>, 柿子树苗
<block:FoodCraft:BlockShucai>, tile.BlockShucai.name
<block:FoodCraft:BlockShuidao>, tile.BlockShuidao.name
<block:FoodCraft:BlockTaozi>, 桃子树叶
<block:FoodCraft:BlockTaoziDG>, 桃子蛋糕
<block:FoodCraft:BlockTaozishu>, 桃子树苗
<block:FoodCraft:BlockTudou>, 土豆方块
<block:FoodCraft:BlockWaike>, 稻谷机器外壳
<block:FoodCraft:BlockXiangjiao>, 香蕉
<block:FoodCraft:BlockXiangjiaoshu>, 香蕉树苗
<block:FoodCraft:BlockYan>, 盐方块
<block:FoodCraft:BlockYezi>, 椰子树果
<block:FoodCraft:BlockYeziDG>, 椰子蛋糕
<block:FoodCraft:BlockYezishu>, 椰子树苗
<block:FoodCraft:BlockYingtao>, 樱桃树叶
<block:FoodCraft:BlockYingtaoshu>, 樱桃树苗
<block:FoodCraft:BlockYouzi>, 柚子树叶
<block:FoodCraft:BlockYouzishu>, 柚子树苗
<block:FoodCraft:BlockYumi>, tile.BlockYumi.name
<block:FoodCraft:Blocksugar>, 糖方块
<block:FoodCraft:Caiban>, 菜板
<block:FoodCraft:FCleaves>, 树叶
<block:FoodCraft:Guo>, 锅
<block:FoodCraft:Gyg>, 高压锅
<block:FoodCraft:Milling machine>, 碾磨机
<block:FoodCraft:Nt>, 酿桶
<block:FoodCraft:PDG>, 平底锅
<block:FoodCraft:Tpj>, 饮料制作机
<block:FoodCraft:YZJ>, 油炸机
<block:FoodCraft:Zl>, 灶炉
<block:FoodCraft:litYZJ>, tile.litYZJ.name
<block:FoodCraft:lit_Milling machine>, tile.litNmj.name
<block:FoodCraft:lit_Tpj>, tile.litTpj.name
<block:FoodCraft:lit_Zl>, tile.litZl.name
<block:GalacticraftCore:slabGCDouble>, tile.slabGCDouble.name
<block:GalacticraftCore:slabGCHalf>, tile.slabGCHalf.name
<block:GalacticraftCore:tile.airLockFrame>, 气密框架
<block:GalacticraftCore:tile.airLockSeal>, 气密闸
<block:GalacticraftCore:tile.aluminumWire>, 铝线
<block:GalacticraftCore:tile.arclamp>, 弧光灯
<block:GalacticraftCore:tile.breatheableAir>, tile.breatheableAir.name
<block:GalacticraftCore:tile.brightAir>, tile.brightAir.name
<block:GalacticraftCore:tile.brightBreathableAir>, tile.brightBreathableAir.name
<block:GalacticraftCore:tile.cargo>, tile.cargo.name
<block:GalacticraftCore:tile.cheeseBlock>, 奶酪块
<block:GalacticraftCore:tile.crudeOilStill>, 原油
<block:GalacticraftCore:tile.distributor>, 氧气分配器
<block:GalacticraftCore:tile.dummyblock>, tile.dummyblock.name
<block:GalacticraftCore:tile.enclosed>, tile.enclosed.name
<block:GalacticraftCore:tile.fallenMeteor>, 陨石
<block:GalacticraftCore:tile.fuel>, 燃料
<block:GalacticraftCore:tile.fuelLoader>, 燃料注入器
<block:GalacticraftCore:tile.gcBlockCore>, tile.gcBlockCore.name
<block:GalacticraftCore:tile.glowstoneTorch>, 萤石火把
<block:GalacticraftCore:tile.landingPad>, tile.landingPad.name
<block:GalacticraftCore:tile.landingPadFull>, 火箭发射平台
<block:GalacticraftCore:tile.machine>, tile.machine.name
<block:GalacticraftCore:tile.machine2>, tile.machine2.name
<block:GalacticraftCore:tile.machineTiered>, tile.machineTiered.name
<block:GalacticraftCore:tile.moonBlock>, tile.moonBlock.name
<block:GalacticraftCore:tile.moonBricksStairs>, 月球地牢砖块楼梯
<block:GalacticraftCore:tile.moonStoneStairs>, 月岩楼梯
<block:GalacticraftCore:tile.oxygenCollector>, 氧气收集器
<block:GalacticraftCore:tile.oxygenCompressor>, tile.oxygenCompressor.name
<block:GalacticraftCore:tile.oxygenDetector>, 氧气探测器
<block:GalacticraftCore:tile.oxygenPipe>, 氧气管道
<block:GalacticraftCore:tile.parachest>, 伞降箱
<block:GalacticraftCore:tile.refinery>, 精炼机
<block:GalacticraftCore:tile.rocketWorkbench>, NASA工作台
<block:GalacticraftCore:tile.sealer>, 氧气密封器
<block:GalacticraftCore:tile.solar>, tile.solar.name
<block:GalacticraftCore:tile.spaceStationBase>, 空间站到达方块
<block:GalacticraftCore:tile.spinThruster>, 旋转推进器
<block:GalacticraftCore:tile.telemetry>, 遥感装置
<block:GalacticraftCore:tile.tinStairs1>, 装饰锡制楼梯
<block:GalacticraftCore:tile.tinStairs2>, 装饰锡制楼梯
<block:GalacticraftCore:tile.treasureChest>, 珍品箱
<block:GalacticraftCore:tile.unlitTorch>, 火把
<block:GalacticraftCore:tile.unlitTorchLit>, 火把
<block:GalacticraftCore:tile.viewScreen>, 显示屏
<block:GalacticraftCore:tile.wallGC>, tile.wallGC.name
<block:GalacticraftMars:tile.asteroidsBlock>, tile.asteroidsBlock.name
<block:GalacticraftMars:tile.beamReceiver>, 能量射束接收器
<block:GalacticraftMars:tile.beamReflector>, 能量射束反射器
<block:GalacticraftMars:tile.cavernVines>, 岩穴藤蔓
<block:GalacticraftMars:tile.creeperEgg>, 苦力怕蛋
<block:GalacticraftMars:tile.denseIce>, 坚冰
<block:GalacticraftMars:tile.hydrogenPipe>, 氢气管道
<block:GalacticraftMars:tile.mars>, tile.mars.name
<block:GalacticraftMars:tile.marsCobblestoneStairs>, 火星圆石楼梯
<block:GalacticraftMars:tile.marsDungeonBricksStairs>, 火星地牢砖楼梯
<block:GalacticraftMars:tile.marsMachine>, tile.marsMachine.name
<block:GalacticraftMars:tile.marsMachineT2>, tile.marsMachineT2.name
<block:GalacticraftMars:tile.slimelingEgg>, tile.slimelingEgg.name
<block:GalacticraftMars:tile.sludge>, 菌泥
<block:GalacticraftMars:tile.telepadFake>, tile.telepadFake.name
<block:GalacticraftMars:tile.telepadShort>, 短距离传送台
<block:GalacticraftMars:tile.treasureT2>, 2阶宝箱
<block:GalacticraftMars:tile.treasureT3>, 3阶宝箱
<block:GalacticraftMars:tile.walkway>, 通道
<block:GalacticraftMars:tile.walkwayOxygenPipe>, 通道
<block:GalacticraftMars:tile.walkwayWire>, 通道
<block:IronChest:BlockIronChest>, tile.IronChest.name
<block:StorageDrawers:compDrawers>, 压缩抽屉
<block:StorageDrawers:controller>, 抽屉管理器
<block:StorageDrawers:controllerSlave>, 附属管理器
<block:StorageDrawers:framingTable>, 成型台
<block:StorageDrawers:fullCustom1>, 自定义抽屉
<block:StorageDrawers:fullCustom2>, 自定义抽屉(1x2)
<block:StorageDrawers:fullCustom4>, 自定义抽屉(2x2)
<block:StorageDrawers:fullDrawers1>, tile.fullDrawers1.name
<block:StorageDrawers:fullDrawers2>, tile.fullDrawers2.name
<block:StorageDrawers:fullDrawers4>, tile.fullDrawers4.name
<block:StorageDrawers:halfCustom2>, 小型自定义抽屉(1x2)
<block:StorageDrawers:halfCustom4>, 小型自定义抽屉(2x2)
<block:StorageDrawers:halfDrawers2>, tile.halfDrawers2.name
<block:StorageDrawers:halfDrawers4>, tile.halfDrawers4.name
<block:StorageDrawers:trim>, tile.trim.name
<block:StorageDrawers:trimCustom>, 自定义桥接方块
<block:Trapcraft:bearTrap>, 捕兽夹
<block:Trapcraft:grasscovering>, 草皮
<block:Trapcraft:igniter>, 点火器
<block:Trapcraft:magneticchest>, 吸物箱子
<block:Trapcraft:spikes>, 尖刺
<block:Trapcraft:tc.fan>, 风扇
<block:TwilightForest:tile.AuroraDoubleSlab>, tile.AuroraDoubleSlab.name
<block:TwilightForest:tile.AuroraPillar>, Aurora Pillar
<block:TwilightForest:tile.AuroraSlab>, Aurora Slab
<block:TwilightForest:tile.CastleBrick>, tile.CastleBrick.name
<block:TwilightForest:tile.CastleMagic>, tile.CastleMagic.name
<block:TwilightForest:tile.DarkLeaves>, Darkwood Leaves
<block:TwilightForest:tile.FluffyCloud>, Fluffy Cloud
<block:TwilightForest:tile.ForceField>, tile.ForceField.name
<block:TwilightForest:tile.GiantCobble>, Giant Cobblestone
<block:TwilightForest:tile.GiantLeaves>, Giant Leaves
<block:TwilightForest:tile.GiantLog>, Giant Log
<block:TwilightForest:tile.GiantObsidian>, Giant Obsidian
<block:TwilightForest:tile.HugeGloomBlock>, Huge Mushgloom
<block:TwilightForest:tile.HugeLilyPad>, Huge Lily Pad
<block:TwilightForest:tile.HugeStalk>, Huge Stalk
<block:TwilightForest:tile.HugeWaterLily>, Huge Water Lily
<block:TwilightForest:tile.KnightmetalBlock>, Block of Knightmetal
<block:TwilightForest:tile.Slider>, tile.Slider.name
<block:TwilightForest:tile.TFAuroraBrick>, Aurora Block
<block:TwilightForest:tile.TFBossSpawner>, tile.TFBossSpawner.name
<block:TwilightForest:tile.TFBurntThorns>, Burnt Thorns
<block:TwilightForest:tile.TFCicada>, 蝉
<block:TwilightForest:tile.TFDeadrock>, tile.TFDeadrock.name
<block:TwilightForest:tile.TFFireJet>, tile.TFFireJet.name
<block:TwilightForest:tile.TFFirefly>, 萤火虫
<block:TwilightForest:tile.TFFireflyJar>, 萤火虫罐子
<block:TwilightForest:tile.TFHedge>, tile.TFHedge.name
<block:TwilightForest:tile.TFLeaves>, tile.TFLeaves.name
<block:TwilightForest:tile.TFLeaves3>, tile.TFLeaves3.name
<block:TwilightForest:tile.TFLog>, tile.TFLog.name
<block:TwilightForest:tile.TFMagicLeaves>, tile.TFMagicLeaves.name
<block:TwilightForest:tile.TFMagicLog>, tile.TFMagicLog.name
<block:TwilightForest:tile.TFMagicLogSpecial>, tile.TFMagicLogSpecial.name
<block:TwilightForest:tile.TFMazestone>, tile.TFMazestone.name
<block:TwilightForest:tile.TFMoonworm>, 月光蠕虫
<block:TwilightForest:tile.TFNagastone>, tile.TFNagastone.name
<block:TwilightForest:tile.TFPlant>, tile.TFPlant.name
<block:TwilightForest:tile.TFPortal>, 暮色森林入口
<block:TwilightForest:tile.TFRoots>, tile.TFRoots.name
<block:TwilightForest:tile.TFSapling>, tile.TFSapling.name
<block:TwilightForest:tile.TFShield>, tile.TFShield.name
<block:TwilightForest:tile.TFThornRose>, Thorn Rose
<block:TwilightForest:tile.TFThorns>, tile.TFThorns.name
<block:TwilightForest:tile.TFTowerDevice>, tile.TFTowerDevice.name
<block:TwilightForest:tile.TFTowerStone>, tile.TFTowerStone.name
<block:TwilightForest:tile.TFTowerTranslucent>, tile.TFTowerTranslucent.name
<block:TwilightForest:tile.TFTrophy>, 暮色森林战利品
<block:TwilightForest:tile.TFTrophyPedestal>, tile.TFTrophyPedestal.name
<block:TwilightForest:tile.TFUncraftingTable>, 多功能工作台
<block:TwilightForest:tile.TFUnderBrick>, tile.TFUnderBrick.name
<block:TwilightForest:tile.TrollBer>, Trollber
<block:TwilightForest:tile.TrollSteinn>, Trollsteinn
<block:TwilightForest:tile.TrollVidr>, Trollvidr
<block:TwilightForest:tile.UberousSoil>, Uberous Soil
<block:TwilightForest:tile.UnripeTrollBer>, Unripe Trollber
<block:TwilightForest:tile.WispyCloud>, Wispy Cloud
<block:adventurebackpack:blockBackpack>, blockAdventureBackpack.name
<block:adventurebackpack:blockCampFire>, blockCampFire.name
