<Apocalypse:bucketHelm>, 桶头盔
<BiblioCraft:Armor Stand>, 衣架
<BiblioCraft:BiblioBell>, 按铃
<BiblioCraft:BiblioBorderlessPainting>, 橡木画框
<BiblioCraft:BiblioCase>, 橡木展示盒
<BiblioCraft:BiblioClipboard>, tile.BiblioClipboard.name
<BiblioCraft:BiblioClock>, 橡木时钟
<BiblioCraft:BiblioDesk>, 橡木台桌
<BiblioCraft:BiblioFancyPainting>, 橡木画框
<BiblioCraft:BiblioFancySign>, 橡木精致木牌
<BiblioCraft:BiblioFlatPainting>, 橡木画框
<BiblioCraft:BiblioIronLamp>, 精致灯具
<BiblioCraft:BiblioIronLantern>, 精致灯笼
<BiblioCraft:BiblioLabel>, 橡木标签
<BiblioCraft:BiblioLamp>, 精致灯具
<BiblioCraft:BiblioLantern>, 精致灯笼
<BiblioCraft:BiblioMapFrames>, 橡木地图框架
<BiblioCraft:BiblioMiddlePainting>, 橡木画框
<BiblioCraft:BiblioPaintPress>, 压印机
<BiblioCraft:BiblioPaneler>, 橡木家具板材机
<BiblioCraft:BiblioPotionShelf>, 橡木药水架
<BiblioCraft:BiblioRack>, 橡木工具架
<BiblioCraft:BiblioSeats>, 橡木椅子
<BiblioCraft:BiblioShelf>, 橡木架子
<BiblioCraft:BiblioSimplePainting>, 橡木画框
<BiblioCraft:BiblioStuffs>, 曲奇罐
<BiblioCraft:BiblioSwordPedestal>, 剑座
<BiblioCraft:BiblioTable>, 橡木桌子
<BiblioCraft:BiblioTypewriter>, 白色打字机
<BiblioCraft:BiblioWorkbench>, 橡木精致工作台
<BiblioCraft:Bibliotheca>, 橡木书架
<BiblioCraft:BookcaseFilled>, 橡木书架
<BiblioCraft:Printing Press>, 拓印机
<BiblioCraft:Typesetting Machine>, 排版台
<BiblioCraft:item.AtlasBook>, 地图册
<BiblioCraft:item.AtlasPlate>, 地图板
<BiblioCraft:item.BiblioChase>, 拓印槽
<BiblioCraft:item.BiblioClipboard>, 写字板
<BiblioCraft:item.BiblioCreativeLock>, 钥匙与锁
<BiblioCraft:item.BiblioDrill>, 机械螺丝刀
<BiblioCraft:item.BiblioGlasses>, 老花镜
<BiblioCraft:item.BiblioMapTool>, 制图盘
